extratrees_oof_predict,id
6111838.31301,1
5481449.34359,2
6130191.81819,3
11289665.0135,4
14730635.482,5
10581659.2829,6
5261322.65775,7
6277490.9994,8
6377079.28239,9
4970112.03935,11
5447288.8685,12
6293646.18052,13
6302678.76669,14
5484513.03712,15
7487370.35512,16
6580956.49425,17
6427456.06195,18
6817848.94948,19
6050614.37401,20
6374498.61383,21
6170824.03658,22
7077223.29119,23
5117104.7135,24
5617474.07177,25
6606291.78868,26
5638169.25225,27
5112202.70319,28
10534591.4854,29
6039888.23445,30
6278023.96969,31
11177439.8728,32
5786860.17122,33
5104200.73007,34
4663900.06136,35
5774734.36149,36
5660656.26231,37
5011022.22466,38
5179854.6825,39
7376527.92068,41
7792324.21134,42
6072731.00281,43
9103159.86592,44
10194061.0908,45
6209599.76143,46
5695792.85204,47
5260118.8504,48
5913156.32473,49
5654626.80187,50
7364017.50552,51
5508041.87145,52
6586682.40363,53
6657172.2156,54
5390028.50858,55
6004688.04267,56
7942917.35462,57
5118584.76454,58
12712096.4965,59
12451152.9004,61
7511740.957,62
6441911.09139,63
5924414.65403,64
6128263.31771,65
8361708.14627,66
8805357.56743,68
6191890.37969,70
5134792.21485,71
8484686.16585,72
11741230.3871,73
5759929.7024,74
6860471.40269,75
6294995.27121,76
10055805.0193,77
5038882.74597,78
7637635.85541,79
20203531.0289,80
7929399.60701,85
6031267.20512,86
4615029.12259,88
6561130.90505,89
11758845.9487,90
5587883.04289,91
8673361.10452,92
9986403.04315,94
6365841.37012,95
10979064.917,96
5706893.9402,98
6614297.68763,99
10272335.2864,100
6164361.65438,101
7605463.45267,102
6152176.97574,103
5875935.85912,104
5224271.36768,105
5553956.55384,106
7623073.60802,107
6563949.43072,109
10992314.487,110
5969502.16567,111
8288039.66078,112
7525432.22772,113
7053724.02588,114
5126869.03396,115
7126329.48704,116
7646693.57184,117
7070365.6001,118
5203467.55675,119
11203776.8907,120
6270764.11855,123
5876227.2885,124
11150975.6991,125
7984647.21929,126
7796723.91915,127
5787797.19511,128
8531546.12433,130
5514859.29967,131
5435338.27061,132
6684200.09289,133
6347982.8883,134
6551978.97049,135
5540567.70323,136
7414836.80422,137
8347796.05808,138
8968588.30009,139
5496671.75491,140
4326066.88822,141
6136210.23392,143
5796923.60678,145
7055243.3409,146
15412210.3815,147
19129412.8549,148
5166848.25528,149
7796540.651,150
4971205.86637,151
7083861.91685,152
6501581.01952,154
7880127.01286,156
6995089.42146,157
8352702.25167,158
8989668.12648,159
4994593.57583,160
10892944.2151,161
5639113.07013,162
9873630.6619,163
5599338.58136,164
6240952.65055,167
5325767.18117,168
6864571.4805,169
6127669.22736,170
19240713.1489,171
5069365.77748,172
5497027.59786,173
5723983.61971,174
6066175.55575,175
5353915.27804,176
5724636.14112,177
11000984.7725,178
13572169.465,179
5131440.84309,180
11036592.8573,181
12236495.8069,182
5712425.09731,183
5584462.82165,184
14220757.8628,186
5087329.56875,187
7067400.20391,188
5574023.68007,189
5962513.20951,190
18994233.0169,191
6096632.14394,192
5831191.95752,194
6450573.73374,197
8215614.65438,198
6437260.89215,199
17263359.0959,200
6571915.42271,201
5176617.55563,202
5581029.20706,203
12673201.4815,204
6082230.19584,205
6152142.51438,206
11274871.8197,207
5103719.18068,208
8673586.59361,209
6601617.04471,211
6030144.27895,212
6546831.05041,213
7478999.83385,214
6236314.43041,215
6192870.39663,216
7555697.16756,218
3712093.95581,219
9456403.46451,221
5745018.92802,222
12764702.4782,223
5828791.62358,225
8194214.28458,226
6452115.56117,227
4028997.97719,228
4531477.02828,229
5627494.41981,230
5470618.3842,231
6162409.492,232
5718809.75275,233
6919701.25095,235
7463871.53209,237
6571206.96038,238
6078658.8037,239
5252176.6354,240
6426973.543,241
7035420.83885,242
5594947.49518,243
6815261.76149,244
5492633.1218,245
11493995.3604,246
6222728.74103,247
5724703.90835,248
9606455.58687,249
4985076.34506,251
13387272.3049,252
8262384.27705,253
6022362.27166,254
5722904.41633,255
5853429.27388,256
6481529.81337,257
5919394.44649,258
7263321.21529,259
5028633.70899,260
5522873.76846,261
6192068.36671,262
16145182.9041,263
5512907.60882,264
13323387.4676,265
6170808.74222,266
5088165.90505,267
5543540.18445,268
5526762.10912,269
5113266.69068,270
7442421.47842,271
4686226.84548,272
5715285.58101,273
5767088.51222,274
6374669.73311,275
6176607.0412,277
6830088.39547,278
15488167.1418,279
10148413.16,280
11454537.139,281
5327605.68742,282
5294886.03289,283
6009281.20454,284
5606970.14854,286
8501469.79259,287
6450143.80916,288
5348246.35852,289
6401506.62778,290
5718933.82794,291
4432309.45277,292
5095748.62725,293
12490643.339,294
6247025.00449,296
6305531.01259,297
24149927.2898,298
6818016.41563,299
5467257.49986,300
5775275.19792,302
5196311.41663,304
6431358.34476,305
6245276.97451,306
7936452.31791,307
7926315.72715,308
12131581.2793,309
5704713.6394,310
5767898.95643,311
14721892.3039,312
4792207.78,314
5799334.30143,315
5732348.07177,316
9762167.74374,317
8551856.88931,319
6003193.06692,320
5275882.27692,321
7426270.31403,322
6112439.83719,324
6141209.40154,325
11286294.553,326
6936633.10945,327
10887527.8477,328
14815578.8192,329
5600425.589,330
6702113.97188,331
5767821.00183,334
10791577.5431,335
7386095.66171,336
6085072.18209,337
6741398.45023,338
5898687.10704,339
6591630.21951,340
6749942.37116,341
6123074.38036,342
5568573.11776,343
4570074.42919,344
5757876.89603,345
5127723.33955,346
7535576.92724,347
7064414.87009,348
7508843.65393,350
10936523.5571,351
12286024.9724,352
5799911.47961,354
6319455.11209,355
6132740.58365,356
9364695.73994,357
5507281.97451,358
8167775.73249,359
5395583.85498,361
13767021.3639,363
6102119.18144,364
8225861.58362,367
6180198.5168,368
5555631.39716,369
5078882.47571,370
7476160.25225,372
10126740.7371,373
5368439.6024,376
4876435.62943,377
11192015.0965,378
11088883.5536,379
5692004.87404,380
5002202.96,381
7527428.96871,382
5787630.13736,383
5460329.29747,384
7606690.50666,385
6467748.95695,387
9549849.14353,388
5642532.90713,389
6168672.68887,390
5553159.06939,391
5882833.58854,392
5613921.74054,393
10714415.9411,394
9279063.71174,395
5791390.82232,396
8272678.31799,397
4499323.06077,398
5240129.8041,399
9361199.70498,400
6180516.57958,401
5054874.96974,402
5167697.93335,403
4621120.9663,404
6083266.14439,406
9052967.02936,407
6792406.20455,408
6351990.13385,409
7072477.6134,410
5665287.85727,411
8177794.86878,412
9109893.40243,413
5816205.25842,414
4998904.5791,416
4448023.26163,417
5958587.53399,418
6378371.75975,419
7929881.34139,420
5389309.56018,421
8488186.50332,423
5560029.22949,424
10821424.9767,425
5711119.32579,426
4420471.01729,427
11805398.3123,428
5426126.22187,429
8713143.4366,431
7560567.62643,432
5085363.45026,433
12515334.7232,435
14146676.253,436
5473916.73108,437
10837261.1061,438
9405217.98662,439
9387514.28041,440
5330976.80904,441
24858116.3688,442
5461198.47616,443
6109239.92237,444
5651920.28169,445
6238330.37046,446
5741802.57872,448
8401363.6455,451
6018664.71299,452
5032359.68661,453
6381695.62656,454
36176367.6,455
8428860.79242,456
5709280.4057,457
5181565.1104,458
5817598.72733,459
6177317.15387,460
14763233.8449,461
7533920.28894,462
5468938.31954,463
5774152.31256,464
6217250.22709,465
5925808.67109,466
11786305.2014,467
5748769.56199,469
7629225.92573,471
5729367.78794,472
4282970.81528,473
6519901.09827,474
5941580.79126,476
7200228.85754,477
6058163.16246,478
5256832.29792,480
13473429.9066,481
6094266.64122,482
5753143.27128,483
5154092.96608,484
6085743.18584,485
5210414.33436,486
10110468.5144,488
6132435.2474,489
10734650.2668,490
6605500.2902,491
13481007.155,492
5105929.09012,493
5672025.98283,494
5944555.39871,495
7910377.09106,496
4886112.90693,497
10258471.6703,498
6148211.3615,500
6877604.42484,501
5666752.75461,502
13026667.6075,503
5586000.97606,505
6986006.2191,506
8075811.65825,507
6807864.32905,508
6349052.12074,509
9082416.71303,510
15476484.2158,511
6073017.50671,512
10212936.5426,513
7970348.35584,514
5869719.20904,515
8857630.8555,516
6801818.11712,518
5573246.36058,520
5601349.07133,521
6561605.92536,522
5629895.347,523
7215388.87866,525
5660739.32818,526
7980859.15075,527
5072617.67191,529
5469630.12077,530
5719505.50324,531
5503614.86544,532
7987308.24661,533
6952651.28711,534
5664481.58931,535
11975920.9702,536
6198975.40905,537
5067675.08172,538
5110727.43731,540
6329869.90742,541
13363687.7126,542
5431122.73696,543
5991641.4825,544
9611563.89829,545
7975909.86336,546
7498335.67538,547
6075749.70063,548
5526190.8806,549
6157824.63966,550
6226702.28787,551
5702680.80278,552
7179114.11833,553
5156864.93376,554
6459628.50189,555
4577358.83949,557
7521532.66417,558
10530923.135,560
7597054.18864,561
10091003.617,562
7757988.37615,563
6056237.99355,564
5523988.32593,566
7634327.17812,567
10663828.1629,568
5078492.55841,569
9365065.60953,570
5099730.83677,571
5777903.75091,572
10497103.8036,573
5956691.065,575
5433756.03169,576
5646979.06512,578
5406320.13093,579
7652051.96972,583
4993017.54521,584
5550712.27049,585
4427574.06053,586
5166303.84334,587
5059818.21483,588
7281961.62682,589
6059711.84752,590
6651721.34694,591
4576870.22567,592
10016162.4822,593
5545795.43686,594
5054704.9754,595
7299628.16994,596
8049620.20114,597
7101709.66089,598
10772592.1368,599
5697292.2322,600
5373370.36917,601
5810321.07361,603
8353112.61101,604
6362408.11808,605
10506688.3253,606
19584327.5723,607
8428714.46783,608
6416335.07965,609
5861732.50332,610
5117773.61455,611
5328321.28001,612
24139263.734,613
5941953.72989,614
6494556.09284,615
7109715.11853,616
5494210.23625,617
9749547.36978,618
6295072.24806,620
4962710.94787,621
8131870.38242,622
5028363.14146,623
9359486.64925,624
19582762.8587,625
15240109.6322,627
5595834.76127,628
4958476.59749,629
5861073.43526,630
6513647.95227,631
18405482.7247,632
6145999.98891,633
5462446.13963,636
5535130.45005,637
4599170.92603,641
10456914.4673,642
8465077.38851,644
6172425.61451,645
5526977.87026,647
15317486.6844,650
8130704.46553,651
10402246.7598,652
5739387.73967,653
5360709.42559,654
6985023.56677,655
4991126.9887,656
5913232.55831,657
11809849.3547,658
14313319.3866,659
5359854.81211,660
5280731.1951,661
5547009.15308,662
22669454.3743,664
5648245.95371,665
11783177.0108,666
5082379.09149,667
4478861.66763,668
5968765.58731,669
7017527.11475,671
5509531.01845,672
6253060.18159,673
5623924.20741,674
5781604.60198,675
5903484.05439,676
6532029.98389,678
5163681.8574,679
5267492.41718,680
6075864.23723,682
7573114.8779,683
6175737.84875,684
7542883.51657,685
8733765.72805,686
11677084.5805,687
5172836.21542,688
6210995.59011,689
5908129.46406,690
5940864.97786,691
5632153.35331,692
8187511.15867,693
5307740.35184,694
12820955.8292,695
9182705.54879,696
5412592.11952,697
7847611.20584,698
11651949.8685,699
8890062.50595,700
5193211.98656,701
5780339.38919,702
3968956.36371,703
5293264.60503,705
8215693.65809,706
6700959.18663,707
7751244.77819,708
5853015.34949,709
4549466.68167,710
9439732.13139,712
5798399.83647,714
6213402.38582,715
5425430.17919,716
8627176.7237,717
10144762.0353,718
13422504.7237,719
6058857.69459,720
4702992.76146,721
12462023.9544,722
5124908.43342,723
6586419.56286,724
5911758.76346,725
6207336.47116,726
18977837.3227,727
5760704.65887,728
5216763.4497,729
5548350.07563,730
5160253.27657,731
10533101.3383,732
6860826.84817,733
5993542.52682,734
6135512.43472,735
5230965.48519,736
8784418.65384,737
6291476.87193,738
5720286.92552,739
5388865.17655,740
14513622.4012,741
6044740.53085,742
5083291.96137,743
5299120.91479,745
9792931.70266,746
8068852.74009,747
5625406.38304,749
10683586.0018,750
5368838.1104,751
5912555.95793,752
7216842.76158,753
6551765.13771,754
7371362.24606,756
10602459.7471,757
6635073.9645,758
4941593.95454,759
9292420.77588,760
6252856.71231,761
10684970.1413,762
6133729.74234,763
5478131.72422,764
8154115.24635,765
5829577.1049,766
6537637.03004,768
