id,lasso_oof_predict
1,6340976.74644
2,5759826.28769
3,5222483.74964
4,10398404.1301
5,13153882.1709
6,8398828.36834
7,6729214.48944
8,5415523.06803
9,5990042.92757
11,4642687.52816
12,3554302.6092
13,7097500.48679
14,6906437.42967
15,6133746.25772
16,6259848.64857
17,5497163.35003
18,6340775.90733
19,6794438.60458
20,5602217.24961
21,7462981.96577
22,4712612.21362
23,7079957.14387
24,4767746.73356
25,4507202.1714
26,9314276.34437
27,5745611.00351
28,3297568.49417
29,9879854.5039
30,4769916.55587
31,8479599.35454
32,11435726.667
33,3588839.02578
34,4483598.28261
35,2583660.77868
36,4777854.48256
37,4342240.38867
38,4820946.34092
39,3520580.65716
41,6143403.43354
42,7471152.59417
43,5404369.96684
44,9624419.95915
45,8988545.316
46,5771217.42912
47,5247010.60888
48,3721856.29305
49,6869096.02874
50,3351062.14239
51,7021839.84346
52,4840843.99294
53,4963068.24502
54,6049148.05469
55,5293516.57825
56,5941593.27042
57,7022641.09467
58,4446145.54967
59,12719911.1185
61,12310192.5797
62,8021123.40519
63,6826182.52765
64,5024580.15054
65,7717044.42402
66,8739336.1254
68,7793315.39486
70,5860669.76052
71,4441107.03421
72,8092017.66994
73,10197557.8033
74,4395773.52824
75,11037936.3772
76,5482262.22118
77,9554381.67861
78,3888284.46598
79,6061514.06518
80,16269579.3263
85,7205619.00176
86,5958786.91634
88,1720947.70089
89,8266779.25273
90,12102159.1899
91,6908803.69285
92,7858969.95549
94,9517471.67966
95,5561616.75016
96,18251913.3061
98,5792611.30477
99,5307327.46332
100,8470158.77206
101,4202782.79992
102,11487076.5396
103,6059798.05246
104,5007310.45911
105,3251959.06099
106,4590581.0652
107,5827402.41735
109,6525876.22706
110,11107852.1578
111,5268511.48612
112,6413232.89365
113,7174384.55771
114,6011452.60969
115,3949231.41579
116,5077486.37893
117,6604159.81089
118,5296393.7714
119,4494448.70021
120,9698262.28397
123,5811854.75109
124,5742080.46826
125,19444173.0029
126,7190840.90253
127,9287452.74148
128,5156169.71361
130,7501844.81236
131,4681024.58131
132,4163530.1985
133,6069542.92369
134,6711738.50343
135,5811319.27743
136,4062341.24499
137,6757745.69203
138,7039241.80684
139,10408370.5927
140,4290109.69736
141,3578538.93112
143,5122129.81493
145,4264906.6954
146,5891803.81391
147,13795898.265
148,16382966.1386
149,6051687.62041
150,7597615.14242
151,3578080.25045
152,6653545.17381
154,6458852.14679
156,7732503.4977
157,7141181.97953
158,6532819.18587
159,7869876.6479
160,3519936.91076
161,11447949.543
162,4051184.18625
163,8041034.03124
164,5614193.84389
167,5861561.53161
168,4329828.28356
169,6330409.67071
170,6078696.59947
171,16773315.0096
172,4699850.2197
173,4702178.56817
174,5343353.67667
175,5758333.38147
176,3826647.04752
177,2613992.56142
178,9160701.54627
179,11794971.8202
180,5571918.51091
181,10477550.285
182,12158831.764
183,5546021.23232
184,4500955.74555
186,12803906.5312
187,4200635.66432
188,7037037.19029
189,5282476.4524
190,5979600.15197
191,16004231.8211
192,4906240.3802
194,5398566.23811
197,9746441.73199
198,7534590.89133
199,5134894.4204
200,16457392.6909
201,8491709.24666
202,4785800.29567
203,3197729.75441
204,10960119.0633
205,5787862.27645
206,5059891.39256
207,12740216.7726
208,4693123.99558
209,9384349.25774
211,7597897.94239
212,5264708.56417
213,3901815.8182
214,6905464.15248
215,5141083.19387
216,6816954.20417
218,8549696.75705
219,3483716.63513
221,8783155.6448
222,5343280.4819
223,11774547.877
225,8578004.18534
226,7979700.48208
227,9278462.85582
228,1701270.90942
229,4031513.89806
230,3522981.59229
231,5728506.20774
232,6689639.97996
233,5382535.39624
235,7627123.94253
237,7283160.39893
238,3288091.44278
239,7487471.24856
240,5827006.96978
241,6150222.34225
242,6058940.50363
243,3195550.63875
244,6325283.88729
245,5020182.53009
246,13875997.2107
247,5135279.22878
248,4196947.94209
249,9405712.53486
251,4465399.85586
252,11245799.7457
253,7406867.12848
254,7850998.41134
255,4984222.28035
256,6477265.50884
257,5589199.92741
258,4943410.63152
259,6809107.6695
260,3674123.67405
261,5939595.15874
262,6206513.00178
263,16329197.6538
264,5080572.10463
265,11830958.4619
266,6543631.62141
267,4824917.64972
268,5341027.05575
269,6133792.2593
270,5623674.4253
271,11076866.2172
272,4215916.58544
273,4947081.97206
274,5781147.92784
275,6501355.93515
277,6191731.84331
278,4666353.33363
279,17705735.6516
280,9976112.61581
281,11753378.7039
282,5052951.64575
283,5157375.73417
284,5789229.39389
286,5346395.34806
287,8618872.70366
288,5941441.1176
289,4624077.72799
290,5726574.96046
291,5506827.65262
292,4747387.0961
293,4273086.96003
294,12679861.3672
296,6099599.44133
297,8055693.90478
298,18061183.8695
299,6956336.89567
300,4444913.24326
302,5972772.13649
304,4169192.30601
305,6729726.7362
306,7149747.63294
307,8038877.64767
308,7605422.89271
309,10690175.5856
310,6166928.20059
311,5103900.0041
312,15001790.9833
314,2030814.98553
315,3615851.30244
316,4669776.46955
317,8533397.49719
319,8159595.77306
320,6916023.21776
321,5025657.35102
322,7150440.17546
324,6124432.87692
325,5518241.51633
326,9825348.75571
327,7217789.04798
328,9989408.45812
329,14157833.9732
330,5446081.22221
331,6209383.97348
334,5248978.05157
335,10745653.4917
336,6960370.03023
337,5812964.34282
338,7517251.90335
339,4182712.65642
340,5517918.55109
341,5764233.91369
342,5529778.45112
343,5599489.14449
344,2545250.26421
345,4954617.7074
346,4709617.15097
347,8438589.09162
348,6174243.12498
350,6873009.02916
351,9683087.51344
