id,random_forest_oof_predict
1,6021518.20046
2,5383049.75805
3,6054049.69416
4,10566698.424
5,15137338.9734
6,10852881.2892
7,4778428.66912
8,6083102.04549
9,6480041.37248
11,4851335.06278
12,5098574.59109
13,6414624.71562
14,5612312.3167
15,5274859.54819
16,7423352.30171
17,6271927.92417
18,6320784.25422
19,7013145.00112
20,5895652.89318
21,7184322.7021
22,6265998.76497
23,6897565.44307
24,4975197.39609
25,5409942.84329
26,6586479.97628
27,6043877.28531
28,5290432.36856
29,10626272.5435
30,6207768.64346
31,6495154.12732
32,10668872.4994
33,5679677.55313
34,5015314.89202
35,4832358.64467
36,5669244.48107
37,5819807.64766
38,4622287.77174
39,4990002.20567
41,7062122.64994
42,7794112.20049
43,6004063.9647
44,8883280.81672
45,9715334.15987
46,6494229.2913
47,5609107.46799
48,5534542.39557
49,5799508.53549
50,5429806.07344
51,7407821.21968
52,5470056.4243
53,6589504.09295
54,6625497.87255
55,5307628.56397
56,5844265.90622
57,8147425.58124
58,4917032.40937
59,12833453.5267
61,13591438.981
62,7446147.99322
63,6309399.52076
64,5659388.55589
65,6330354.30606
66,7784031.42363
68,8330541.59313
70,5969667.35741
71,4940543.47404
72,8601211.40185
73,12536435.8492
74,5657252.38893
75,7497841.20711
76,6016309.37629
77,9891032.36462
78,4916479.81955
79,7937625.88413
80,20093093.5129
85,7963524.94479
86,6318631.9535
88,4832453.5815
89,6620474.69258
90,12622644.0142
91,5375363.04625
92,9569322.55177
94,10447188.999
95,6390923.75983
96,12666041.398
98,5557532.42191
99,6163899.08118
100,10168427.3536
101,6467813.44502
102,8234080.34952
103,6025338.26658
104,5667713.138
105,4884036.67368
106,5509398.42284
107,7479249.47415
109,6365849.8752
110,10660972.2209
111,6135524.06336
112,8791982.08238
113,7775290.65878
114,6955894.22226
115,4944021.85017
116,7153254.99116
117,7669994.13179
118,7705681.81793
119,4977274.06033
120,11545166.282
123,5863809.35889
124,6132873.75474
125,11754645.3544
126,7648438.0782
127,7726651.32305
128,5677242.53274
130,8317303.44783
131,5796591.23651
132,5189303.05425
133,6849580.63727
134,6633023.45791
135,6497599.62934
136,5328831.8865
137,7613602.06369
138,8675894.94856
139,9415513.29829
140,5115673.61014
141,4008220.7245
143,6086005.90638
145,5844214.06791
146,7300952.15455
147,16102527.5212
148,18234789.424
149,5071475.50099
150,7108942.20172
151,4816741.65147
152,6903882.3141
154,6532312.10945
156,7584838.99603
157,6914805.74833
158,8323857.93641
159,8889927.09141
160,5063137.96573
161,10449375.7174
162,5939187.49368
163,10090303.6342
164,5573227.74086
167,6368389.16926
168,5400947.90875
169,6897486.47382
170,6332187.49687
171,19247688.351
172,4958754.87263
173,5299335.58975
174,5985223.72196
175,5858807.56429
176,5200206.27471
177,5712075.506
178,10507279.8966
179,14421480.825
180,5022659.37092
181,10710988.4452
182,13686809.8029
183,5692266.62167
184,5442404.66108
186,15208875.5308
187,4947188.89688
188,6815729.88957
189,5506400.00693
190,6461326.59119
191,20488666.1842
192,5913380.55579
194,5699174.31135
197,6778678.23823
198,8499591.96291
199,6256824.51817
200,17810904.9161
201,6645178.71678
202,5001427.50535
203,5228323.85548
204,12195433.2671
205,5844870.77466
206,6384748.68257
207,11727643.0784
208,4962136.78911
209,8591324.36032
211,6664933.2694
212,6425801.38274
213,6618483.83564
214,7651033.77055
215,6428000.54777
216,6123387.87247
218,7855591.84708
219,3540250.51868
221,9277071.17436
222,5663555.63758
223,13152117.5807
225,5458807.06692
226,8398057.73487
227,6664291.40371
228,3997177.62142
229,4060759.49058
230,5528548.28126
231,5332114.92173
232,6120797.89065
233,5757728.75811
235,7104283.74094
237,7317129.44751
238,6441512.7103
239,6000611.6813
240,5145027.98227
241,5968409.76026
242,7046258.94054
243,5561704.14846
244,6415896.82729
245,5236243.03479
246,12771103.7417
247,5960849.65651
248,5650417.644
249,8939681.70159
251,4700239.45115
252,14005542.2143
253,8435911.26213
254,6252838.24629
255,5858054.97164
256,5697272.59454
257,6443077.84837
258,6263919.42141
259,7377201.68318
260,4952101.58689
261,5368128.85475
262,5814680.82362
263,16111130.8139
264,5806029.67162
265,13899981.0749
266,6055486.47605
267,4920640.98541
268,5439722.28271
269,5454027.98246
270,4879139.59814
271,7952022.78296
272,4181979.25507
273,5647529.77104
274,5705831.23107
275,6561675.92375
277,6465883.14501
278,6504589.31547
279,18135911.2537
280,10264335.0089
281,11206287.2
282,4955231.52378
283,5227607.22706
284,6060616.38474
286,5496630.8596
287,8671936.6176
288,6446021.33602
289,5170258.78452
290,6511596.69801
291,5539138.26163
292,4146789.87359
293,5208109.90162
294,12779839.0354
296,6349709.99998
297,6481209.3026
298,28370283.66
299,6831652.79806
300,5215425.24138
302,5927454.70406
304,5107337.08127
305,6178340.6912
306,6148023.111
307,7971147.52932
308,7927160.99272
309,11650654.4141
310,6059158.2156
311,5668745.45469
312,16449032.4974
314,4049449.57272
315,5705899.32719
316,5640968.44295
317,9284078.30304
319,9359310.79112
320,5974525.87913
321,5122379.91784
322,7487762.88168
324,6076065.44608
325,6043980.33351
326,11853379.8088
327,6908075.78176
328,10921069.2921
329,16332217.4388
330,5543783.53094
331,6716312.53831
334,5640225.06661
335,10131375.913
336,7567645.22885
337,5857841.568
338,6917327.89082
339,5585963.45993
340,6337968.95633
341,6747157.20934
342,6400439.13798
343,5571684.6044
344,4251261.16411
345,5912852.78441
346,4897568.70305
347,7608457.85242
348,6700569.129
350,7402603.89556
351,10744005.7384
352,12685910.3985
354,6047151.39868
355,6573389.19349
356,6516924.73507
357,10445900.3761
358,5375467.27776
359,8065326.52522
361,5472391.49576
363,14077362.2748
364,6575819.87551
367,7702523.39526
368,6474393.55429
369,5487211.55836
370,4903429.56947
372,7654573.28368
373,9199882.8729
376,5204069.78091
377,4874931.50115
378,10630732.886
379,11585287.5155
380,5573173.24157
381,4969345.12074
382,7750134.4313
383,6011253.93691
384,5421321.9551
385,7187138.67228
387,6433876.83719
388,9856254.88723
389,5734003.58465
390,6442217.95798
391,4828049.74891
392,6379578.6023
393,5657247.4019
394,10680329.0034
395,9064728.29678
396,6117072.70924
397,8077462.58856
398,4321550.29877
399,5095357.92969
400,9775392.78871
401,6445655.18943
402,4975539.3293
403,4948901.50415
404,4162835.04076
406,5947980.92928
407,8813966.01135
408,7226046.45068
409,6476626.43223
410,7608037.6915
411,5326117.56982
412,8233624.05058
413,8941992.93705
414,5947375.41012
416,4683024.9261
417,4100219.39932
418,6130189.98311
419,6353689.19573
420,9225813.90084
421,5297369.13878
423,8184507.44537
424,5600478.52887
425,10777973.2873
426,5847251.33375
427,4143714.19834
428,12664950.9285
429,5394345.13103
431,9312048.3532
432,7438772.07322
433,4991896.47475
435,12127576.9472
436,15199998.3392
437,5304590.80971
438,10344906.3506
439,8998708.50112
440,9368745.42542
441,5144254.43426
442,25968699.9251
443,5124303.67936
444,6052948.24431
445,5645205.23569
446,6549097.26237
448,5582586.9945
451,8175621.67207
452,5888068.44009
453,4944406.24891
454,6208678.76078
455,38807812.3636
456,10106798.5697
457,5607537.16767
458,5129304.03665
459,5811215.33486
460,5960540.93597
461,15814719.5367
462,7378534.27356
463,5522119.56918
464,5819419.71333
465,6023840.61754
466,6055320.88379
467,12195289.5548
469,5338322.03294
471,7654174.14975
472,5485375.20775
473,4055547.24144
474,6537581.82038
476,6209795.04011
477,6902203.0081
478,6278566.36426
480,5085489.98521
481,14383325.3827
482,6274693.22002
483,5619378.9554
484,5044974.59119
485,5812702.45883
486,5117031.21672
488,10563268.8113
489,6111859.03294
490,10793795.0981
491,6675047.86656
492,14005721.9136
493,5005450.60847
494,5940460.4346
495,6152341.91136
496,7676491.43539
497,4463293.1522
498,11587907.8248
500,5933712.5524
501,5834380.06706
502,5363676.33953
503,10818767.0561
505,5774188.71844
506,7348120.12733
507,8819554.58087
508,6960814.55371
509,6363917.90406
510,10233042.5537
511,16175051.6994
512,6100630.34682
513,10278359.7167
514,8166941.66674
515,5926134.03461
516,8870948.8654
518,6814302.35992
520,5222047.81292
521,5414895.05438
522,6482489.22026
523,5296045.91317
525,7273019.23866
526,6125650.77696
527,7807067.36999
529,4850809.61441
530,5231312.93799
531,5585632.41197
532,5526379.34794
533,7704191.66697
534,7012641.99792
535,6013550.66775
536,12345102.7263
537,6412127.076
538,5000059.50781
540,4929922.07131
541,6507477.6928
542,12834458.3727
543,5355982.51869
544,5761308.3592
545,10216443.6657
546,8335564.99652
547,8052889.53372
548,6049197.33123
549,5240592.86924
550,6212598.82311
551,6470063.54193
552,5601579.263
553,6335629.93993
554,4919789.84683
555,6530562.40869
557,4243580.09102
558,7665682.11449
560,11289291.8056
561,8023302.38619
562,10518322.8192
563,7338897.19645
564,6091021.13369
566,5799280.7653
567,8099170.74857
568,10131407.7428
569,4973755.42806
570,9673954.54095
571,5338141.88428
572,5596446.61825
573,10402299.9499
575,5837813.53568
576,5438077.88155
578,5608122.52496
579,5177000.77999
583,7576514.42986
584,4856991.07317
585,5411280.4263
586,4145839.07642
587,4988084.8029
588,4972463.84046
589,7334187.27355
590,6315908.51316
591,6898341.94808
592,4103528.58579
593,9997013.58351
594,5591073.07249
595,4954695.74413
596,7879590.13009
597,8269990.88363
598,6710913.97683
599,10723325.9279
600,6077891.75311
601,5566496.7939
603,5247371.07934
604,8439066.98535
605,6448782.41398
606,10226319.7865
607,21929541.021
608,7753572.51977
609,6527032.27167
610,6132589.14928
611,4971668.28816
612,5173496.72886
613,24464005.1353
614,5835772.7233
615,6621107.46608
616,6729348.40626
617,5538174.80699
618,10173546.7315
620,5922042.92559
621,4709181.61746
622,7937943.21138
623,4916794.07494
624,9364363.84891
625,18909826.9933
627,16959026.397
628,5472060.92497
629,4910635.52319
630,6020122.61388
631,6516939.68722
632,18600871.1018
633,6340466.43625
636,5243245.77966
637,5464365.05954
641,4776081.75006
642,10681376.4376
644,8851055.0438
645,6145515.36398
647,5590502.56373
650,15769811.4517
651,7848844.17229
652,11091176.4146
653,6105599.73354
654,5141238.84433
655,7307673.90829
656,5031278.68629
657,6100911.3658
658,12149879.8118
659,16209212.8403
