id,ridge_oof_predict
1,5857316.02507
2,5882375.40661
3,5751641.71671
4,10324025.0676
5,13535486.6403
6,7546445.72104
7,6056329.66841
8,5800562.37822
9,6359950.56068
11,4465108.38199
12,3826342.84365
13,6833451.90369
14,7859588.83966
15,5756272.31722
16,6374193.63873
17,6186467.94661
18,5981668.38688
19,6614915.07849
20,5295340.90173
21,6819198.70612
22,4776190.50696
23,7362259.44794
24,4417235.63557
25,4561439.93349
26,9159038.0178
27,5395566.5391
28,3440370.36404
29,10145584.103
30,4762234.87022
31,7963064.80703
32,10889049.3612
33,3824097.43943
34,4562014.14558
35,3431080.55115
36,4878131.99245
37,5263079.58225
38,4063111.62901
39,4450396.66531
41,7656800.72571
42,7586605.15547
43,5460345.49447
44,9831984.52448
45,9288022.81311
46,6238649.49516
47,5485146.73197
48,3573548.97581
49,6496909.63575
50,4252721.73364
51,6937420.67131
52,4780436.52365
53,5290288.83868
54,7032444.56337
55,5024803.83129
56,5670933.44271
57,7673148.69503
58,4361568.86619
59,11912078.4285
61,11981945.9458
62,7734557.77993
63,7653098.37658
64,5313967.54191
65,8133272.53833
66,8867434.72155
68,8762318.18536
70,6624282.63714
71,4515531.48764
72,7602725.22428
73,11611183.9185
74,4699125.05441
75,8624022.51425
76,5517712.32545
77,9455655.10671
78,4148728.23163
79,6552501.27663
80,16026311.5525
85,6768461.81741
86,6240608.49056
88,2068340.17583
89,8265838.88997
90,11922199.6412
91,6004608.32404
92,8550487.75201
94,9198378.51879
95,5393104.77254
96,16507957.1549
98,5486770.77874
99,5734366.75454
100,9338301.3202
101,4237558.01075
102,9373359.4494
103,5786518.59181
104,5068883.42623
105,3290812.15754
106,4778662.93743
107,5893087.75292
109,6823560.86898
110,10949108.9855
111,5228976.39083
112,6991896.0426
113,7276689.75318
114,6659445.42935
115,4178625.49454
116,5775576.16779
117,7581559.01318
118,5458025.76044
119,4801328.75997
120,9243615.55883
123,5562857.77723
124,5333348.08119
125,17939523.0795
126,7176209.62168
127,9620226.87133
128,5726326.14289
130,8042109.49143
131,4445848.9274
132,5174196.7314
133,6732966.51621
134,7163039.50307
135,6265827.04675
136,4998530.65106
137,6647006.14955
138,7371728.39048
139,9238353.62896
140,4605891.18598
141,2947298.03439
143,5465506.29296
145,4516199.03402
146,5846452.56948
147,13687967.0414
148,16403171.3083
149,5236650.48356
150,7896043.2718
151,4234497.04579
152,6278565.83186
154,7553725.35198
156,7686968.68962
157,7000729.992
158,7668364.4922
159,8163392.47174
160,3551471.33148
161,10906384.5668
162,4453612.29865
163,8698731.42007
164,5337911.65173
167,5440612.0782
168,4397774.0201
169,6540172.21843
170,6086994.26947
171,15631558.08
172,4168818.17418
173,4489419.39566
174,5333853.40543
175,5949888.72084
176,3621800.58882
177,4376333.04136
178,10218618.5514
179,12850512.1731
180,5341130.47024
181,10271371.4231
182,12072208.7811
183,5742648.00643
184,4455504.21864
186,12876470.9312
187,4705862.76017
188,6947690.5232
189,5897963.16213
190,5812148.1114
191,15073680.1254
192,5326453.05192
194,5336603.13752
197,9174321.58195
198,7657365.8249
199,4720210.6162
200,16128691.7515
201,8245283.6539
202,4697108.93363
203,3476327.33702
204,10967162.2403
205,5824364.21576
206,5878963.51588
207,11782363.2724
208,4081157.06507
209,8909317.81135
211,7998179.51925
212,5166719.97921
213,5046956.54286
214,7643561.08456
215,5811775.36417
216,6183249.82171
218,8263669.39874
219,1754715.72111
221,9423339.01411
222,5612776.8568
223,11641878.985
225,8364772.45855
226,8420992.34937
227,7899890.76515
228,2341284.85717
229,4599002.75901
230,3920668.53501
231,5631490.97953
232,6622865.05312
233,5330402.24226
235,8521099.72718
237,7414665.78625
238,5293750.71368
239,7249185.8038
240,5692623.73951
241,5913016.47256
242,6820619.45198
243,4159325.64437
244,6045839.55372
245,5621152.11421
246,12340685.9421
247,5514176.00706
248,4297040.69266
249,8768052.68599
251,4462141.01796
252,11658564.7211
253,7699310.25787
254,6962662.06042
255,6059645.52357
256,6123375.74742
257,6163587.53759
